id,name,rating,room,type-of-room,beds,number-of-baths,shared-bath,host-id,host-name,neighbourhood-group,neighbourhood,latitude,longitude,room-type,price,minimum-nights,number-of-reviews,last-review,reviews-per-month,calculated-host-listings-count,availability-365,number-of-reviews-ltm,license
32653090,Serviced apartment in Madrid,4.9,3,Bedroom,2,1,0,240975048,Palacio Luna,Centro,Palacio,40.42063,-3.71066,Entire home/apt,1235,1,39,30/12/2022,1.91,11,1,4,NA
14418694,Floor in Madrid,4.88,1,Bedroom,1,1,0,15328893,Alessandra,Centro,Justicia,40.42074,-3.7007,Private room,1200,1,234,6/1/2022,2.68,3,63,0,NA
12867848,Rental unit in Madrid,4.86,4,Bedroom,6,2,0,70358747,Antonio,Arganzuela,Acacias,40.40107,-3.71306,Entire home/apt,1179,222,85,8/3/2020,0.93,1,270,0,VT-5801
29850257,Rental unit in Madrid,4.72,7,Bedroom,6,5,0,126877886,Luis,Moncloa - Aravaca,Argüelles,40.43004,-3.72253,Entire home/apt,1073,1,32,31/10/2023,0.53,1,338,9,VT-9750
26933843,Rental unit in Madrid,4.88,1,Bedroom,1,1,1,130211899,Nicolas,Centro,Embajadores,40.41298,-3.707,Private room,1031,1,42,18/4/2023,0.64,1,365,1,NA
36137524,Hostel in Madrid,4.67,1,Bedroom,1,1,1,264886384,Maria Teresa,Centro,Embajadores,40.41224,-3.70073,Shared room,1000,1,3,5/1/2020,0.06,6,365,0,NA
36137508,Hostel in Madrid,5,1,Bedroom,NA,1,1,264886384,Maria Teresa,Centro,Embajadores,40.41232,-3.70081,Shared room,1000,1,9,2/2/2020,0.18,6,365,0,NA
36137486,Hostel in Madrid,4.65,1,Bedroom,1,1,1,264886384,Maria Teresa,Centro,Embajadores,40.41352,-3.70254,Shared room,1000,1,23,10/2/2020,0.44,6,365,0,NA
29054264,Rental unit in Madrid,5,9,Bedroom,2,1,0,213488532,Pablo,Centro,Universidad,40.42314,-3.70966,Private room,1000,1,3,12/11/2021,0.12,2,179,0,NA
26690367,Rental unit in Madrid,5,3,Bedroom,4,2,0,81628294,Mariana,Centro,Palacio,40.41867,-3.71018,Entire home/apt,1000,6,14,23/7/2023,0.22,2,29,2,9058
36559688,Boutique hotel in Madrid,4.72,1,Bedroom,1,1,0,273735428,Soho Boutique Opera,Centro,Palacio,40.41952,-3.70827,Hotel room,999,1,25,2/11/2021,0.48,2,0,0,NA
10721228,Rental unit in Madrid,4.86,3,Bedroom,3,2,0,9228673,Home At Homes,Centro,Justicia,40.42199,-3.69684,Entire home/apt,999,5,56,24/12/2019,0.61,11,0,0,VT-1612
39882735,Hostel in Madrid,4.63,1,Bedroom,4,1,0,307109778,Hostal Cervelo,Centro,Cortes,40.41428,-3.70144,Private room,993,1,8,14/12/2022,0.53,5,12,0,NA
47883472,Rental unit in Madrid,4.5,3,Bedroom,3,2,0,377605855,MIT House,Centro,Cortes,40.41523,-3.70018,Entire home/apt,982,1,20,22/7/2023,0.71,291,167,5,VT-8768
